년도,작물코드,작물분류,품목,수출입,물량(kg),금액(USD)
2022,1,식량작물,보리,수출,10570,22591
2022,1,식량작물,밀,수출,0,0
2022,1,식량작물,옥수수,수출,165.7,2174
2022,1,식량작물,감자,수출,1240705,930455
2022,1,식량작물,두류,수출,51.7,331
2022,1,식량작물,조(밀리트),수출,11084.8,61677
2022,1,식량작물,수수,수출,0,0
2022,1,식량작물,귀리,수출,0,0
2022,6,사료작물,호밀,수출,0,0
2022,6,사료작물,유채,수출,0,0
2022,6,사료작물,수단그라스,수출,0,0
2022,6,사료작물,페스큐,수출,0,0
2022,6,사료작물,켄터기블루그라스,수출,0,0
2022,6,사료작물,라이그라스,수출,0,0
2022,6,사료작물,티모디그래스,수출,0,0
2022,6,사료작물,오차드그라스,수출,0,0
2022,6,사료작물,클로버,수출,0,0
2022,6,사료작물,루산(알팔파),수출,0,0
2022,6,사료작물,기타 (헤어리벳치 등),수출,226.8,11764
2022,4,화훼류,초본용 화초,수출,19,3720
2022,2,채소류,고추류(착색단고추포함),수출,18380.3,13188496
2022,2,채소류,무,수출,168246.7,6017188
2022,2,채소류,양배추,수출,50939.7,6736170
2022,2,채소류,토마토,수출,3461.7,6028266
2022,2,채소류,양파,수출,27165.6,2114979
2022,2,채소류,파속,수출,13879.6,1028884
2022,2,채소류,멜론,수출,599,1333776
2022,2,채소류,기타 (배추 등),수출,203288.2,17501112
2022,9,기타,산림수,수출,62.5,5149
2022,9,기타,잔디,수출,0,0
2022,3,과수류,과수목,수출,0,0
2022,9,기타,면실,수출,4.3,172
2022,9,기타,연초,수출,0,0
2022,9,기타,사탕무,수출,0,0
2022,9,기타,인삼,수출,0,0
2022,9,기타,기타 종자류(포자 등),수출,1100.5,725974
2022,1,식량작물,보리,수입,18.5,244
2022,1,식량작물,밀,수입,0,0
2022,1,식량작물,옥수수(단옥수수 포함),수입,282588.4,4925320
2022,1,식량작물,조(밀리트),수입,26504.5,29775
2022,1,식량작물,수수,수입,1.5,30
2022,1,식량작물,귀리,수입,50000.6,82517
2022,1,식량작물,감자,수입,54,284
2022,1,식량작물,두류,수입,42950.8,132709
2022,6,사료작물,호밀,수입,3570501.7,6227250
2022,6,사료작물,유채,수입,5000,11959
2022,6,사료작물,페스큐,수입,473375.6,2543224
2022,6,사료작물,켄터기블루그라스,수입,188033.3,1496565
2022,6,사료작물,라이그라스,수입,7797120.4,20462057
2022,6,사료작물,수단그라스,수입,157506.6,354805
2022,6,사료작물,루산(알팔파),수입,39845,163193
2022,6,사료작물,클로버,수입,31597.2,118186
2022,6,사료작물,티모디그라스,수입,3000,22800
2022,6,사료작물,오차드그라스,수입,36640,243193
2022,6,사료작물,기타(헤어리벳치 등),수입,1663282.8,8361313
2022,4,화훼류,화초용 초본식물,수입,307667,7600874
2022,2,채소류,고추류(착색단고추 포함),수입,41928.1,12415961
2022,2,채소류,무,수입,919717.7,9230630
2022,2,채소류,양배추,수입,76620.6,3601013
2022,2,채소류,토마토,수입,7447.6,10779459
2022,2,채소류,양파,수입,54556.2,10212466
2022,2,채소류,파속,수입,101858.5,4789119
2022,2,채소류,멜론,수입,2503.1,550404
2022,2,채소류,기타 (배추 등),수입,723492.5,22487931
2022,9,기타,산림수,수입,38722,312841
2022,9,기타,잔디,수입,508358,2710236
2022,3,과수류,과수목,수입,74155.4,622532
2022,9,기타,사탕무,수입,20.4,1785
2022,9,기타,땅콩,수입,10166.2,25762
2022,9,기타,면실,수입,0,0
2022,9,기타,연초,수입,253,148153
2022,9,기타,기타종자류(포자 등),수입,81174.8,2073293
2022,9,기타,인삼,수입,0,0
2021,1,식량작물,보리,수출,13489,37562
2021,1,식량작물,밀,수출,0,0
2021,1,식량작물,옥수수,수출,182.7,3409
2021,1,식량작물,감자,수출,843050,447515
2021,1,식량작물,두류,수출,550,2955
2021,1,식량작물,조(밀리트),수출,20303.5,93239
2021,1,식량작물,수수,수출,0,0
2021,1,식량작물,귀리,수출,0,0
2021,6,사료작물,호밀,수출,0,0
2021,6,사료작물,유채,수출,0,0
2021,6,사료작물,수단그라스,수출,0,0
2021,6,사료작물,페스큐,수출,0,0
2021,6,사료작물,켄터기블루그라스,수출,0,0
2021,6,사료작물,라이그라스,수출,0,0
2021,6,사료작물,티모디그래스,수출,0,0
2021,6,사료작물,오차드그라스,수출,0,0
2021,6,사료작물,클로버,수출,0,0
2021,6,사료작물,루산(알팔파),수출,0,0
2021,6,사료작물,기타 (헤어리벳치 등),수출,4680,422239
2021,4,화훼류,초본용 화초,수출,90.5,17977
2021,2,채소류,고추류(착색단고추포함),수출,22618.1,14131575
2021,2,채소류,무,수출,296593.3,10327163
2021,2,채소류,양배추,수출,65601.4,7056267
2021,2,채소류,토마토,수출,9034.1,6136593
2021,2,채소류,양파,수출,36056.9,3121022
2021,2,채소류,파속,수출,13907.8,877178
2021,2,채소류,멜론,수출,456.6,796771
2021,2,채소류,기타 (배추 등),수출,181389.8,16325795
2021,9,기타,산림수,수출,0,0
2021,9,기타,잔디,수출,0,0
2021,3,과수류,과수목,수출,232.5,16695
2021,9,기타,면실,수출,0,0
2021,9,기타,연초,수출,0,0
2021,9,기타,사탕무,수출,5,110
2021,9,기타,인삼,수출,0,0
2021,9,기타,기타 종자류(포자 등),수출,2803.3,1100770
2021,1,식량작물,보리,수입,172.1,1701
2021,1,식량작물,밀,수입,1700,8884
2021,1,식량작물,옥수수(단옥수수 포함),수입,361742.1,6576670
2021,1,식량작물,조(밀리트),수입,5500.5,16417
2021,1,식량작물,수수,수입,0.7,6
2021,1,식량작물,귀리,수입,556509.8,819813
2021,1,식량작물,감자,수입,0,0
2021,1,식량작물,두류,수입,87408.8,200155
2021,6,사료작물,호밀,수입,3344400,4771380
2021,6,사료작물,유채,수입,0,0
2021,6,사료작물,페스큐,수입,541160.5,1702511
2021,6,사료작물,켄터기블루그라스,수입,218301.3,1347861
2021,6,사료작물,라이그라스,수입,7222243.4,16660594
2021,6,사료작물,수단그라스,수입,335707.2,781808
2021,6,사료작물,루산(알팔파),수입,37378.6,161982
2021,6,사료작물,클로버,수입,51733.4,185459
2021,6,사료작물,티모디그라스,수입,1320,5170
2021,6,사료작물,오차드그라스,수입,25395,155291
2021,6,사료작물,기타(헤어리벳치 등),수입,1922465.5,9042112
2021,4,화훼류,화초용 초본식물,수입,299205.6,7174813
2021,2,채소류,고추류(착색단고추 포함),수입,38961.3,12332268
2021,2,채소류,무,수입,965745.1,10813735
2021,2,채소류,양배추,수입,46968.8,2850942
2021,2,채소류,토마토,수입,6496,10660788
2021,2,채소류,양파,수입,46634.1,10613031
2021,2,채소류,파속,수입,118352.6,5401185
2021,2,채소류,멜론,수입,2351.5,526646
2021,2,채소류,기타 (배추 등),수입,848807.3,25116399
2021,9,기타,산림수,수입,57529.3,439829
2021,9,기타,잔디,수입,618801.8,2077487
2021,3,과수류,과수목,수입,50423,311469
2021,9,기타,사탕무,수입,5.9,75
2021,9,기타,땅콩,수입,55510.6,99051
2021,9,기타,면실,수입,0.7,9
2021,9,기타,연초,수입,177.7,147974
2021,9,기타,기타종자류(포자 등),수입,105871.9,3053475
2021,9,기타,인삼,수입,0,0
2020,1,식량작물,보리,수출,17954.6,51633
2020,1,식량작물,밀,수출,0,0
2020,1,식량작물,옥수수,수출,845.7,43708
2020,1,식량작물,감자,수출,545023.1,278452
2020,1,식량작물,두류,수출,245,3627
2020,1,식량작물,조(밀리트),수출,17637,82042
2020,1,식량작물,수수,수출,0,0
2020,1,식량작물,귀리,수출,1849.6,4409
2020,6,사료작물,호밀,수출,0,0
2020,6,사료작물,유채,수출,0,0
2020,6,사료작물,수단그라스,수출,0,0
2020,6,사료작물,페스큐,수출,0,0
2020,6,사료작물,켄터기블루그라스,수출,0,0
2020,6,사료작물,라이그라스,수출,0,0
2020,6,사료작물,티모디그래스,수출,0,0
2020,6,사료작물,오차드그라스,수출,0,0
2020,6,사료작물,클로버,수출,0,0
2020,6,사료작물,루산(알팔파),수출,0,0
2020,6,사료작물,기타 (헤어리벳치 등),수출,3,341
2020,4,화훼류,초본용 화초,수출,26.6,4306
2020,2,채소류,고추류(착색단고추포함),수출,28745.8,13634424
2020,2,채소류,무,수출,265964.6,8961964
2020,2,채소류,양배추,수출,44298.5,5896212
2020,2,채소류,토마토,수출,8129.7,5948639
2020,2,채소류,양파,수출,30737,2240283
2020,2,채소류,파속,수출,6826.5,451308
2020,2,채소류,멜론,수출,368.1,743004
2020,2,채소류,기타 (배추 등),수출,220489.6,20139750
2020,9,기타,산림수,수출,95.1,10470
2020,9,기타,잔디,수출,0,0
2020,3,과수류,과수목,수출,48.2,7472
2020,9,기타,면실,수출,0,0
2020,9,기타,연초,수출,2.1,1807
2020,9,기타,사탕무,수출,0,0
2020,9,기타,인삼,수출,0,0
2020,9,기타,기타 종자류(포자 등),수출,4108.8,950753
2020,1,식량작물,보리,수입,62.1,659
2020,1,식량작물,밀,수입,40,10
2020,1,식량작물,옥수수(단옥수수 포함),수입,313454.8,5207359
2020,1,식량작물,조(밀리트),수입,5015,14168
2020,1,식량작물,수수,수입,1.2,10
2020,1,식량작물,귀리,수입,495030,652265
